text_news,class
"(Adds details)RIYADH, Dec 3 (Reuters) - The institutional tranche of Saudi Aramco’s planned initial public offering (IPO) has been almost three times oversubscribed, receiving orders worth 189.04 billion riyals ($50.4 billion), financial advisers for the IPO said on Tuesday.The bookbuilding process for allocating shares to institutional buyers - typically asset managers, insurers or pension funds - began on Nov. 17 and investors have until 1700 Saudi time on Dec. 4 to place orders.Aramco plans to sell 1.5% of its shares in a deal that could raise up to $25.6 billion.The state-owned Saudi oil giant has received subscription orders for around 6.3 billion of shares so far from institutions in the first 17 days of the IPO, Samba Capital, NCB Capital and HSBC Saudi Arabia said.Typically, IPOs in Saudi Arabia tend to be subscribed many times over, although the unprecedented size of Aramco’s listing means it is harder to benchmark the level of demand.The biggest IPO in Saudi Arabia, before Aramco, was for the National Commercial Bank (NCB) in 2013, which sought to raise $6 billion and was oversubscribed many times over.Aramco has previously said 0.5% of the offering will be allocated to retail investors, leaving 1% - or 2 billion shares - for institutional buyers.The deal could be the world’s biggest IPO if it tops the $25 billion listing of China’s Alibaba Group Holding Ltd in 2014.The lead managers did not provide a breakdown of the institutional investors, but in a separate statement last week Samba Capital said the bulk of orders came from Saudi companies and funds, while foreign investors accounted for just 10.5% of the offers as of Nov. 28.The retail tranche, which closed on that date, attracted bids worth 47.4 billion riyals, equivalent to around 1.5 times the number of shares offered.Riyadh scaled back its original IPO plans, scrapping an international roadshow to focus instead on marketing the offering to wealthy Gulf Arab allies. It has stayed quiet on when or where it might list the stock abroad.The deal is the centrepiece of Crown Prince Mohammed bin Salman’s plans to diversify the Saudi economy away from oil.($1 = 3.7500 riyals)(Reporting by Marwa Rashad; editing by Lisa Shumaker)",pos
"* OPEC, allies may add 0.4 mln bpd to existing cuts* Moscow still has to approve new policy* Oil prices under pressure from booming U.S. supply (Updates with analysts, prices)DUBAI/LONDON/MOSCOW, Dec 2 (Reuters) - OPEC and its allies plan to deepen oil cuts and have the deal in place so it runs at least until June 2020 as Saudi Arabia wants to deliver a positive surprise to the market before the listing of Saudi Aramco, two sources familiar with the talks said.The deal being discussed by the Organization of the Petroleum Exporting Countries and other producers, known as OPEC+, would add at least 400,000 barrels per day (bpd) to existing cuts of 1.2 million bpd or 1.2% of global supply.The current deal runs to March.“They (the Saudis) want to surprise the market,” one of the sources said.Another two sources said the latest OPEC analysis, drawn up by OPEC’s Economic Commission Board (ECB), showed a large oversupply and build up in inventories in the first half of 2020, if no additional cuts were made.Russia, a key non-OPEC ally, has so far opposed deeper cuts or a longer extension. But Moscow has often taken a tough stance before every meeting before approving the policy. Sources said Saudi Arabia was working on convincing Russia.Riyadh needs high oil prices to balance its budget and support the pricing for the Aramco initial public offering (IPO), which could be the world’s biggest.Russia, the world’s second biggest oil exporter after Saudi Arabia, also benefits from a higher oil price and has been working with OPEC on cuts to prevent an oil glut building as a result of booming production from the United States, which has climbed to become the world’s biggest crude producer.Benchmark Brent oil prices rose by more than 2% to nearly $62 per barrel on Monday on the news about the possibility of deeper cuts.Prince Abdulaziz bin Salman heads to Vienna this week for his first OPEC meeting as Saudi Arabia’s energy minister.SEEKING STRICTER COMPLIANCEThe veteran oil official, known as a tough negotiator, wants to ensure oil prices stay high enough for Aramco’s IPO, sources said.The IPO will be priced on Thursday, the same day OPEC meets in Vienna. The OPEC+ grouping holds talks on Friday.Saudi officials, including Prince Abdulaziz, have insisted on stricter compliance with the current cuts, especially as countries such as Iraq and Nigeria have produced well above their quotas, while Riyadh has cut more than demanded.The Saudis are also lobbying other producers to deepen cuts and have been signaling that they are ready to continue taking the biggest burden and to cut well in excess of their target.Amrita Sen, co-founder of Energy Aspects think-tank, which closely watches OPEC policies, said she believed Riyadh would insist on better compliance by all members before agreeing to further cuts.Saudi Arabia has been cutting more than the amount agreed for most of this year. Its actual cut in November was 783,000 bpd, according to a Reuters survey, a level that was about 400,000 bpd more than its pledged cut of 322,000 bpd.Saudi and Russian oil production costs are much cheaper than those in the United States so any OPEC cut. A price rise can hurt OPEC and its allies because it bolsters U.S. production and allows U.S. shale oil producers to grab a bigger market share.“If WTI goes up to $60 per barrel, there will be more shale,” one of the sources familiar with OPEC talks said, warning against much steeper output cuts.Gary Ross, founder of BlackGold Investors, said it would make sense for Riyadh to support further cuts because of the Aramco IPO and because of forecasts for a oil surplus in 2020.Julius Baer’s Norbert Rucker said that “the most likely outcome next week is an extension of the supply deal for another six months, wrapped in flowery communication leaving the room open for further loose compliance and policy adjustments should market conditions change.”(Additional reporting by Olesya Astakhova and Vladimir Soldatkin in Moscow; Writing by Dmitry Zhdannikov; Editing by Edmund Blair)",pos
"* OPEC, allies may add 0.4 mln bpd to existing cuts* Moscow still has to approve new policy* Oil prices under pressure from booming U.S. supply (Update with price reaction, details)DUBAI/LONDON/MOSCOW, Dec 2 (Reuters) - OPEC and its allies plan to deepen oil cuts and have the deal in place so it runs at least until June 2020 as Saudi Arabia wants to deliver a positive surprise to the market before the listing of Saudi Aramco, two sources familiar with the talks said.The deal being discussed by the Organization of the Petroleum Exporting Countries and other producers, known as OPEC+, would be to add at least 400,000 barrels per day (bpd) to existing cuts of 1.2 million bpd or 1.2% of global supply.The current deal runs to March.""They (the Saudis) want to surprise the market,"" one of the sources said.Another two sources said the latest OPEC analysis, drawn up by OPEC's Economic Commission Board (ECB), showed a large oversupply and build up in inventories in the first half of 2020, if no additional cuts were made.Russia, a key non-OPEC ally, has so far opposed deeper cuts or a longer extension. But Moscow has often taken a tough stance before every meeting before approving the policy. Sources said Saudi Arabia was working on convincing Russia.Riyadh needs high oil prices to balance its budget and support the pricing for the Aramco initial public offering (IPO), which could be the world's biggest.Russia, the world's second biggest oil exporter after Saudi Arabia, also benefits from a higher oil price and has been working with OPEC on cuts to prevent an oil glut building as a result of booming production from the United States, which has climbed to become the world's crude producer.Benchmark Brent oil prices rose by more than 2% to nearly $62 per barrel on Monday on the news about the possibility of deeper cuts.DEEP SAUDI CUTPrince Abdulaziz bin Salman heads to Vienna this week for his first OPEC meeting as Saudi Arabia's energy minister.The veteran oil official, known as a tough negotiator, wants to ensure oil prices stay high enough for Aramco's IPO, sources said.The IPO will be priced on Dec. 5, the same day OPEC meets in Vienna. The OPEC+ grouping holds talks on Dec. 6.Saudi officials, including Prince Abdulaziz, have insisted on stricter compliance with the current cuts, especially as countries such as Iraq and Nigeria have produced well above their quotas while Riyadh has cut more than demanded.The Saudis are also lobbying other producers to deepen cuts and have been signaling that they are ready to continue taking the biggest burden and to cut well in excess of their target.Saudi Arabia has been cutting more than the amount agreed for most of this year. Its actual cut in November was 783,000 bpd, according to a Reuters survey, a level that was about 400,000 bpd more than its pledged cut of 322,000 bpd.Saudi and Russian oil production costs are much cheaper than those in the United States so any OPEC cut. A price rise can hurt OPEC and its allies because it further bolsters U.S. production and allowing U.S. shale oil producers to grab a bigger market share.""If WTI goes up to $60 per barrel, there will be more shale,"" one of the sources familiar with OPEC talks said, warning against much steeper output cuts.(Additional reporting by Olesya Astakhova and Vladimir Soldatkin in Moscow; Writing by Dmitry Zhdannikov; Editing by Edmund Blair)",pos
"Aramco IPO - lead bankers@ (Corrects subscription order for shares to 5.9 bln, not 6.3 bln, after bank clarification)Riyadh, Dec 3 (Reuters) - Saudi Aramco has received orders worth 189.04 billion riyals ($50.4 billion) for the institutional tranche of its planned initial public offering (IPO), its financial advisers said in a joint statement on Tuesday.The institutional bookbuilding began on Nov. 17 and investors have until Dec. 4 to place orders. Aramco plans to sell 1.5% of its shares, in a deal which could raise up to $25.6 billion.The Saudi oil giant has received subscription orders from institutional buyers for around 5.9 billion shares so far, Samba Capital, NCB Capital and HSBC Saudi Arabia said. (Reporting by Marwa Rashad)",pos
"(Changes slug, adds details)DUBAI, Dec 2 (Reuters) - Saudi Arabia’s Tadawul has introduced an equity index cap of 15% which is set to address concerns over the weighting oil giant Saudi Aramco will have when it lists on the exchange.State-owned oil firm Aramco is expected to list 1.5% of its shares this month in a deal which could raise more than $25 billion and top the record initial public offering (IPO) of Chinese retailer Alibaba on the New York Stock Exchange in 2014.The Aramco IPO is seen as a test for the Saudi exchange, where the largest listing so far has been worth $6 billion.“Any constituent whose index weight reaches or exceeds the threshold will be capped in accordance with the set limit,” Tadawul said in a statement on Monday.Aramco is expected to have an initial weight of close to 10% in the Tadawul all-share index (TASI).“This is a precautionary measure to assure investors regarding Aramco’s impact on the Saudi index in case of any further liquidation in the future or in case the stock price goes up,” said Mazen al-Sudairi, head of research at Al Rajhi Capital.The cap would limit the risk of any security representing a large percentage of the index and becoming a major risk for the market, as well as limiting the index’s correlation to the oil price, he added.The move is part of a broader update of Tadawul’s index methodology, including a revision of the free float shares calculation methodology.The new measures will “ensure more balanced indices, which will accurately represent the movement of the market, enhance disclosures and transparency and minimize securities dominance,” Tadawul’s CEO Khalid Al Hussan said in a statement.Tadawul said it had also applied a new “Fast Entry” rule allowing shares of IPOs to be included in the all-share index at the close of their fifth trading day.Currently Al Rajhi Bank has the largest weighting on the TASI at around 16%, followed by National Commercial Bank (NCB) with 7% and petrochemical giant SABIC with 6.8%.Aramco has received $44.3 billion in bids so far from institutional and retail investors for the IPO, lead manager Samba Capital said last week. Retail subscriptions ended on Nov. 28 while institutional investors have until Wednesday to submit their orders. (Reporting by Davide Barbuscia, additional reporting by Marwa Rashad Editing by Alexander Smith, Kirsten Donovan)",pos
"IPO-sources@ (Adds Kuwait wealth fund plans to invest, background on IPO)DUBAI/ABU DHABI, Nov 27 (Reuters) - The sovereign wealth funds of Abu Dhabi and Kuwait plan to invest in the initial public offering (IPO) of Saudi Aramco, which is relying mainly on Saudi and Gulf investors to raise up to $25.6 billion, sources familiar with the matter said.Abu Dhabi Investment Authority (ADIA) is weighing an investment of at least $1 billion, five sources familiar with the matter told Reuters. A final decision on the amount requires board approval, one of the sources said.Kuwait Investment Authority (KIA) also plans to invest in the IPO, two of the sources said. The size of the potential deal was not immediately known.An ADIA spokesman and Aramco declined to comment. KIA did not immediately respond to a request for comment.State oil giant Aramco has struggled to attract a major cornerstone or anchor investor for its IPO, which could be potentially the world’s biggest if it exceeds $25 billion.Aramco officials have visited Kuwait and Abu Dhabi, which have strong political ties with Riyadh, to discuss participating in the offering.Aramco had cancelled marketing roadshows for its listing outside the Gulf region due to a lack of interest from foreign institutional investors, many of whom see Aramco’s valuation as expensive given concern over political, governance and environment issues.ADIA and KIA manage a combined total of about $1.3 trillion in assets, according to the Sovereign Wealth Fund Institute, making them among the biggest sovereign funds in the world.Two of the sources said ADIA was considering an investment of at least $1 billion, while two other sources gave a range of between $1.5 billion and $2 billion.ADIA, estimated to have assets of nearly $700 billion, is chaired by the president of the United Arab Emirates. Its deputy chairman is Abu Dhabi Crown Prince Sheikh Mohammed bin Zayed al-Nahyan, a close ally of Saudi Arabia’s crown prince.Saudi Arabia aims to sell 1.5% of Aramco, valuing the company at between $1.6 trillion and $1.7 trillion - lower than the $2 trillion target initially sought by Crown Prince Mohammed bin Salman, who has made the offering a pillar of his ambitious drive for economic diversification.Aramco kicked off the sale process on Nov. 3. Retail subscription hit 27.04 billion riyals ($7.21 billion) on Tuesday, lead manager Samba Capital said.Aramco has said at least one-third of the sale is expected to be covered by retail investors, who have until Nov. 28 to sign up for the IPO. The institutional offering closes on Dec 4. (Additional Stanley Carvalho in Abu Dhabi and Davide Barbuscia in Dubai; Editing by Dale Hudson)",pos
"(Updates with details, background)DUBAI/LONDON, Dec 2 (Reuters) - OPEC and its allies plan to deepen oil cuts and have the deal in place so it runs at least until June 2020 as Saudi Arabia wants to deliver a positive surprise to the market before the listing of Saudi Aramco, two sources familiar with the talks said.The deal being discussed by the Organization of the Petroleum Exporting Countries and other producers, known as OPEC+, would be to add at least 400,000 barrels per day (bpd) to existing cuts of 1.2 million bpd. The current deal runs to March.“They (the Saudis) want to surprise the market,” one of the sources said.Another two sources said the latest OPEC analysis, drawn up by OPEC’s Economic Commission Board (ECB), showed a large oversupply and build up in inventories in the first half of 2020, if not additional cuts were made.Prince Abdulaziz bin Salman heads to Vienna this week for his first OPEC meeting as Saudi Arabia’s energy minister.The veteran oil official, known as a tough negotiator, wants to make ensure oil prices stay high enough during Aramco’s initial share offering (IPO), sources said.The IPO will be priced on Dec. 5, the same day OPEC meets in Vienna. The OPEC+ grouping holds talks on Dec. 6.Saudi officials, including Prince Abdulaziz, have insisted on stricter compliance with the current cuts, especially as countries such as Iraq and Nigeria have produced well above their quotas while Riyadh has cut more than demanded.However, the Saudis are lobbying other producers to deepen cuts and have been signaling that they are ready to continue taking the biggest burden and to cut well in excess of their target.(Additional reporting by Olesya Astakhova and Vladimir Soldatkin in Moscow; Writing by Dmitry Zhdannikov; Editing by Edmund Blair)",pos
"OPEC and its allies plan to deepen oil cuts and have the deal in place so it runs at least until June 2020 as Saudi Arabia wants to deliver a positive surprise to the market before the listing of Saudi Aramco, two sources familiar with the talks said.     The deal being discussed by the Organization of the Petroleum Exporting Countries and other producers, known as OPEC+, would be to add at least 400,000 barrels per day (bpd) to existing cuts of 1.2 million bpd. The current deal runs to March.     ""They (the Saudis) want to surprise the market,"" one of the sources said.     Another two sources said the latest OPEC analysis, drawn up by OPEC's Economic Commission Board (ECB), showed a large oversupply and build up in inventories in the first half of 2020, if not additional cuts were made.     Prince Abdulaziz bin Salman heads to Vienna this week for his first OPEC meeting as Saudi Arabia's energy minister.      The veteran oil official, known as a tough negotiator, wants to make ensure oil prices stay high enough during Aramco's initial share offering (IPO), sources said.     The IPO will be priced on Dec. 5, the same day OPEC meets in Vienna. The OPEC+ grouping holds talks on Dec. 6.     Saudi officials, including Prince Abdulaziz, have insisted on stricter compliance with the current cuts, especially as countries such as Iraq and Nigeria have produced well above their quotas while Riyadh has cut more than demanded.     However, the Saudis are lobbying other producers to deepen cuts and have been signaling that they are ready to continue taking the biggest burden and to cut well in excess of their target.",pos
"(Adds details, background)RIYADH, Nov 28 (Reuters) - The retail portion of Saudi Aramco's initial public offering (IPO) has been oversubscribed, with orders reaching 38.1 billion Saudi riyals ($10.2 billion), lead manager Samba Capital said on Thursday.The state oil giant plans to sell a 1.5% stake, or about 3 billion shares, and has said at least one-third of the sale is expected to be covered by retail investors, who have until Thursday to sign up.With an indicative price of 30-32 riyals, the IPO is valued at as much as 96 billion riyals ($25.6 billion) and gives the firm a market value of $1.6-$1.7 trillion.It will be the world's biggest IPO if it tops the $25 billion set by China's Alibaba in 2014.Around 4.17 million retail investors had subscribed to 1.19 billion shares by 12 p.m. on Thursday, injecting 6.13 billion riyals above the amount needed for full coverage, Samba said.Subscription will continue until midnight on Thursday and final results will be announced on Friday, it said in a statement.The IPO is the centrepiece of Crown Prince Mohammed bin Salman's plans to diversify the Saudi economy away from its reliance on oil.Aramco is the crown jewel of the economy and the world's most profitable company.It is relying on local and regional demand to pull off the deal, after cancelling marketing roadshows outside the Gulf region due to a lack of interest from foreign institutional investors.Sources told Reuters this week that the sovereign wealth funds of Abu Dhabi and Kuwait plan to invest.Saudis have been eager to buy shares, with many seeking to invest on behalf of their dependents to increase the number of shares they can buy.The government has encouraged rich Saudis to invest, with many viewing it as an opportunity to show their patriotism after a September attack on Aramco facilities that struck at the heart of the kingdom's energy industry.Washington and Riyadh blamed regional rival Iran for the attacks, which temporarily cut more than 5% of global oil supply. Tehran denied any involvement.($1 = 3.7500 riyals) (Reporting by Marwa Rashad; editing by Edmund Blair and Jason Neely)",pos
"RIYADH, Nov 28 (Reuters) - The retail portion of Saudi Aramco’s initial public offering (IPO) has been oversubscribed, with orders reaching 38.1 billion Saudi riyals ($10.2 billion), lead manager Samba Capital said on Thursday.The state oil giant plans to sell a 1.5% stake, or about 3 billion shares, at an indicative price of 30 to 32 riyals, valuing the IPO at as much as 96 billion riyals and giving the firm a market value of $1.6 trillion to $1.7 trillion.Aramco has said at least one-third of the sale is expected to be covered by retail investors, who have until end of Thursday to sign up. (Reporting by Marwa Rashad; Editing by Edmund Blair)",neg
