title,class
UPDATE 1-Saudi Aramco IPO institutional tranche 2.95 times oversubscribed,nat
UPDATE 3-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
UPDATE 2-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
CORRECTED (OFFICIAL)-Institutions have subscribed for 5.9 bln shares of Aramco IPO - lead bankers,nat
UPDATE 2-Saudi exchange to limit Aramco index weighting with cap,nat
"UPDATE 1-Abu Dhabi, Kuwait sovereign funds plan investment in Aramco IPO-sources",nat
UPDATE 1-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
UPDATE 1-Saudi Aramco IPO’s retail tranche oversubscribed -lead manager,nat
Saudi Aramco IPO’s retail tranche oversubscribed - lead manager,nat
UPDATE 1-Saudi Aramco markets IPO in Dubai after approaching Kuwait fund,nat
Abu Dhabi sovereign fund weighs investment of at least $1 bln in Aramco IPO -sources,neg
UPDATE 1-Saudi exchange to limit Aramco index weighting with cap,nat
Saudi central bank says Aramco IPO not causing liquidity issues for banks,nat
ABU DHABI’S SOVEREIGN FUND ADIA WEIGHS INVESTMENT OF AT LEAST $1 BLN IN ARAMCO IPO ...,neg
UPDATE 1-Aramco IPO retail subscription at $7.21 bln -lead manager,nat
"Saudi Aramco meets ADIA, Abu Dhabi funds in IPO pitch -sources",nat
UPDATE 3-Saudi Aramco in race for IPO record with $1.7 trillion top value,pos
UPDATE 3-Aramco IPO: It’s a thanks but no thanks from Petronas,pos
"UPDATE 1-Aramco IPO retail subscription at $5.8 bln, says lead manager",nat
UPDATE 1-Saudi central bank says Aramco IPO not causing liquidity issues for banks,nat
UPDATE 2-Saudi Aramco IPO raises 73 billion riyals so far -Samba,pos
COLUMN-Saudi Aramco’s behavior after IPO matters more than lofty $1.7 trillion valuation: Russell,pos
We’re seeing upside for Saudi Aramco shares trading higher: Analyst,pos
"UPDATE 1-OPEC November oil output slips before Aramco IPO, policy meeting",nat
"OPEC November oil output slips before Aramco IPO, policy meeting",nat
UPDATE 1-Saudi Aramco IPO’s institutional tranche oversubscribed - source,nat
Saudi Aramco IPO’s retail tranche attracts $12.6 bln -lead manager,nat
"Saudi Aramco will not market IPO in the United States, report says",nat
UPDATE 1-Aramco IPO banks face pared payday of $90 million or less - sources,neg
Aramco IPO banks face pared payday of $90 million or less - sources,neg
Hard for Aramco to engineer oil prices ahead of IPO: Woodside,neg
TIMELINE-Saudi Aramco’s winding road to an IPO,nat
UPDATE 3-Saudi Aramco order book reaches 73 billion riyals so far - Samba,pos
UPDATE 1-Eager Saudis prepare to snap up stakes in ‘crown jewel’ Aramco,nat
Eager Saudis prepare to snap up stakes in ‘crown jewel’ Aramco,nat
Saudi Aramco targets sale of 0.5% of oil firm to retail investors in IPO -sources,neg
"UPDATE 6-Saudi Aramco kick-starts what could be world’s biggest IPO, offers scant details",pos
